ID,Name,Level,EXP need,ATK,HP,ATKR,ATKS,CR,CD,CP,LV_SKILL 1,LV_SKILL 2,LV_SKILL 3
30001,Mad scientist,1,500,5,35,3,0.2,0.1,1.5,706,0,0,0
,Nhà khoa học điên,2,1000,22,154,3,0.2,0.1,1.5,3052,0,0,0
,,3,1500,24,168,3,0.2,0.1,1.5,3328,0,0,0
,,4,2000,26,182,3,0.2,0.1,1.5,3604,1,0,0
,,5,2500,29,203,3,0.2,0.1,1.5,4018,1,1,0
,,6,3000,33,231,3,0.2,0.1,1.5,4570,1,1,1
,,7,3500,37,259,3,0.2,0.1,1.5,5122,1,1,1
,,8,4000,42,294,3,0.2,0.1,1.5,5812,2,1,1
,,9,4500,48,336,3,0.2,0.1,1.5,6640,2,2,1
,,10,5000,54,378,3,0.2,0.1,1.5,7468,2,2,2
,,11,5500,61,427,3,0.2,0.1,1.5,8434,2,2,2
,,12,6000,69,483,3,0.2,0.1,1.5,9538,3,2,2
,,13,6500,77,539,3,0.2,0.1,1.5,10642,3,3,2
,,14,7000,86,602,3,0.2,0.1,1.5,11884,3,3,3
,,15,7500,96,672,3,0.2,0.1,1.5,13264,3,3,3
,,16,8000,106,742,3,0.2,0.1,1.5,14644,4,3,3
,,17,8500,117,819,3,0.2,0.1,1.5,16162,4,4,3
,,18,9000,129,903,3,0.2,0.1,1.5,17818,4,4,4
,,19,9500,141,987,3,0.2,0.1,1.5,19474,4,4,4
,,20,10000,154,1078,3,0.2,0.1,1.5,21268,4,4,4
,,,,,,,,,,,,,
Tấn công mặc định,,,,,,,,,,,,,
Ném kéo,,,,,,,,,,,,,
,,,,,,,,,,,,,
SKILL 1,,,,,,,,,,,,,
Lập tức hồi lại 5/10/15/20% HP,,,,,,,,,,,,,
Cooldown: 25/20/15/10 giây,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SKILL 2 ,,,,,,,,,,,,,
"Trong vòng 3/4/5/6 giây, tăng gấp đôi tốc độ đánh",,,,,,,,,,,,,
Cooldown: 45/35/25/15 giấy,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SKILL 3,,,,,,,,,,,,,
Lập tức gây sát thương bằng 150/200/250/300% HP cho toàn bộ kẻ địch trong phạm vi tấn công của quái,,,,,,,,,,,,,
Cooldown: 60/50/40/30 giây,,,,,,,,,,,,,
